date_sold,COGS,price_sold,customer,units_sold
1/1/2017,2.15,8.91,WE68594,47000
1/1/2017,5,6.93,SD61301,1000
1/1/2017,3.6,4.95,UY59785,25000
1/2/2017,5.35,5.94,QB52151,12000
1/2/2017,4.55,5.94,RS29392,41000
1/2/2017,1.45,6.93,QW56895,17000
1/4/2017,2.65,4.95,TW29382,33000
1/4/2017,2.35,5.94,UY59785,54000
1/5/2017,4.95,4.95,AU44452,22000
1/5/2017,2.95,6.93,EN15154,16000
1/5/2017,3.45,7.92,DC54863,50000
1/6/2017,1.45,7.92,ST20938,59000
1/6/2017,3,7.92,RS29392,30000
1/6/2017,2.1,3.96,LL22355,52000
1/6/2017,2.35,8.91,SD61301,38000
1/6/2017,4.8,7.92,RS29392,31000
1/6/2017,2.95,3.96,SD61301,27000
1/7/2017,5.4,4.95,RS29392,23000
1/7/2017,1.45,5.94,WE42352,39000
1/7/2017,4.35,3.96,AJ93848,2000
1/7/2017,1.8,6.93,SS93393,14000
1/7/2017,1.15,4.95,JF93837,37000
1/7/2017,1.9,5.94,WE68594,47000
1/8/2017,4.6,7.92,QB52151,7000
1/8/2017,1.55,4.95,WG15152,59000
1/8/2017,4.05,4.95,ST20938,32000
1/9/2017,5.4,5.94,JI20398,35000
1/9/2017,3.35,5.94,WE68594,42000
1/9/2017,3.7,5.94,TW29382,27000
1/9/2017,4.1,4.95,SS93393,26000
1/10/2017,3.45,4.95,FIO2818,6000
1/10/2017,2.3,6.93,WE42352,48000
1/10/2017,2.3,6.93,DI41455,14000
1/10/2017,2.7,5.94,RS29392,19000
1/11/2017,1.15,7.92,EI92873,17000
1/11/2017,4.3,7.92,JF93837,57000
1/11/2017,3.65,4.95,KN84849,56000
1/11/2017,4.65,5.94,EB26526,40000
1/11/2017,2.95,7.92,KM81354,29000
1/11/2017,2.85,7.92,KO54545,46000
1/12/2017,2.65,5.94,QZ38383,14000
1/12/2017,3.35,5.94,UY59785,12000
1/12/2017,5.55,6.93,KM81354,5000
1/12/2017,5.9,5.94,LL22355,14000
1/12/2017,4.75,7.92,KM81354,21000
1/13/2017,4.85,6.93,LL22355,2000
1/13/2017,2.3,7.92,UY59785,52000
1/13/2017,1.55,5.94,SS93393,22000
1/14/2017,2.1,8.91,FF39393,34000
1/14/2017,1.05,6.93,WG15152,41000
1/14/2017,5.4,8.91,UY59785,32000
1/14/2017,2.7,5.94,FIO2818,59000
1/15/2017,2.15,6.93,AU44452,27000
1/15/2017,4.55,8.91,UY59785,40000
1/15/2017,1.8,7.92,FIO2818,9000
1/15/2017,2.2,7.92,JI20398,56000
1/15/2017,1.7,3.96,EB26526,48000
1/17/2017,1.65,7.92,JI20398,18000
1/17/2017,1.05,3.96,QB52151,15000
1/17/2017,1.35,5.94,QW56895,26000
1/17/2017,1.75,7.92,TW29382,52000
1/17/2017,2.1,4.95,KN84849,52000
1/17/2017,2.3,5.94,EI92873,29000
1/17/2017,2.45,7.92,WI38374,57000
1/17/2017,5.25,5.94,RS29392,59000
1/18/2017,3.9,5.94,WI38374,4000
1/18/2017,2.9,5.94,WE42352,40000
1/18/2017,1.7,6.93,AJ30909,49000
